system,input_id,symbol_or_key,primary_role,physical_quantity,source_or_consumer_path,source_symbol_or_locator,authority_class,value_status,value_or_domain,units,basis,spatial_support,measurement_location,temporal_support,clock,initial_state,runtime_consumer_status,validity_range,evidence_reference,notes
PANNUSCH,P-T-CONST,temperature_start_C=temperature_end_C,SOURCE_PROGRAMMED_INPUT,programmed water temperature,puckworks/data/pannusch2024/prediction_conditions.csv,PRED-C01/C02/C05/C06/C07/C08,SOURCE_EXPERIMENT_DESIGN,AVAILABLE,86;90;92,degC,machine command,programme,machine command; not measured bed,shot-constant command,source programme time,isothermal model,NOT_APPLICABLE,80-98 degC,PW-PRED-CONDITIONS,
PANNUSCH,P-T-END,temperature endpoints,SOURCE_PROGRAMMED_INPUT,programmed temperature endpoints,puckworks/data/pannusch2024/prediction_conditions.csv,PRED-C03/C04,SOURCE_EXPERIMENT_DESIGN,AVAILABLE,88->93;93->88,degC,endpoint commands,programme,machine command,two endpoints,source programme time,isothermal model assumption conflicts with ramp,NOT_APPLICABLE,80-98 degC,PW-PRED-CONDITIONS,
PANNUSCH,P-TT,T(t),SOURCE_AUTHORITY_UNRESOLVED,temperature history,puckworks/data/pannusch2024/prediction_conditions.csv,temperature_schedule,SOURCE_EXPERIMENT_DESIGN,NOT_AVAILABLE,UNRESOLVED,degC,UNRESOLVED,programme,machine command,history unavailable,clock unresolved,UNRESOLVED,NOT_APPLICABLE,none established,PW-PRED-CONDITIONS,
PANNUSCH,P-TREF,TREF_K,SOURCE_FIXED_MODEL_CONSTANT,van't Hoff reference temperature,puckworks/models/pannusch2024/closures.py,TREF_K,SOURCE_CODE,AVAILABLE,360.15,K,closure reference,model-global,not measured,constant,model time,isothermal,NOT_APPLICABLE,closure only,PW-CLOSURES,
PANNUSCH,P-ETA,water_viscosity(T),SOURCE_DERIVED_CLOSURE,dynamic viscosity,puckworks/models/pannusch2024/closures.py,water_viscosity,SOURCE_CODE,AVAILABLE,correlation,Pa s,pure water,model-global,not measured,temperature-dependent,model time,isothermal,NOT_APPLICABLE,80-98 degC,PW-CLOSURES,
PANNUSCH,P-DI,"diffusion_coeff(T,solute)",SOURCE_DERIVED_CLOSURE,molecular diffusivity,puckworks/models/pannusch2024/closures.py,diffusion_coeff,SOURCE_CODE,AVAILABLE,Wilke-Chang,m2/s,free molecular/pure water,solute-specific,not measured,temperature-dependent,model time,isothermal,NOT_APPLICABLE,80-98 degC,PW-CLOSURES,
PANNUSCH,P-MOLPROP,SOLUTES M/MV,SOURCE_FIXED_MODEL_CONSTANT,molecular properties,puckworks/models/pannusch2024/closures.py,SOLUTES,SOURCE_CODE,AVAILABLE,four pseudo/solutes,g/mol;cm3/mol,solute molecule,solute-specific,not measured,constant,model time,isothermal,NOT_APPLICABLE,model solutes,PW-CLOSURES,
PANNUSCH,P-DBED,DBED,SOURCE_FIXED_MODEL_CONSTANT,basket diameter,puckworks/models/pannusch2024/solver.py,DBED,SOURCE_CODE,AVAILABLE,0.058,m,nominal circular bed,whole basket,model geometry,constant,model time,saturated,NOT_APPLICABLE,source model,PW-SOLVER,
PANNUSCH,P-ACS,ACS,SOURCE_DERIVED_CLOSURE,basket cross-sectional area,puckworks/models/pannusch2024/solver.py,DBED**2*pi/4,SOURCE_CODE,AVAILABLE,derived,m2,nominal circular bed,whole basket,model geometry,constant,model time,saturated,NOT_APPLICABLE,source model,PW-SOLVER,
PANNUSCH,P-L,L,SOURCE_FIXED_MODEL_CONSTANT,bed depth,puckworks/models/pannusch2024/solver.py,L,SOURCE_CODE,AVAILABLE,0.015,m,fixed model bed,whole basket,model geometry,constant,model time,saturated,NOT_APPLICABLE,source model,PW-SOLVER,
PANNUSCH,P-DOSE,M_0,SOURCE_SCENARIO_ASSUMPTION,dose basis,docs/cards/pannusch2024.md,default M_0,SOURCE_DOCUMENTATION,AVAILABLE,20,g dry coffee,whole basket dry dose,whole basket,scenario,constant,model time,saturated,NOT_APPLICABLE,source model,PW-CARD,
PANNUSCH,P-ALPHA-L,ALPHA_L,SOURCE_FIXED_MODEL_CONSTANT,bulk liquid porosity,puckworks/models/pannusch2024/solver.py,ALPHA_L,SOURCE_CODE,AVAILABLE,0.17,1,bulk liquid volume/bed volume,whole bed,model state,constant,model time,saturated,NOT_APPLICABLE,source model,PW-SOLVER,Card says measured per-grind values not provided; implementation constant
PANNUSCH,P-PHI-V2,PHI_V2,SOURCE_FIXED_MODEL_CONSTANT,coarse intragranular porosity,puckworks/models/pannusch2024/solver.py,PHI_V2,SOURCE_CODE,AVAILABLE,0.4,1,coarse-particle internal pore fraction,coarse particles,model state,constant,model time,saturated,NOT_APPLICABLE,source model,PW-SOLVER,
PANNUSCH,P-SATURATED,fully saturated/preinfused t=0,SOURCE_INITIAL_CONDITION,initial wetting state,puckworks/models/pannusch2024/solver.py,c0 and card IC,SOURCE_MODEL_CONTRACT,AVAILABLE,fully saturated,state,bulk bed,whole bed,model state,t=0 after preinfusion,solver zero,saturated,NOT_APPLICABLE,source model,PW-CARD,
PANNUSCH,P-CLEAN-INLET,"c_l(t,0)=0",SOURCE_INITIAL_CONDITION,inlet solute concentration,puckworks/models/pannusch2024/solver.py,_rhs cl[0]=0,SOURCE_MODEL_CONTRACT,AVAILABLE,0,normalized concentration,clean solvent,bed inlet,model boundary,all t,solver clock,saturated,NOT_APPLICABLE,source model,PW-SOLVER,
PANNUSCH,P-1D,homogeneous unidirectional 1D,SOURCE_SCENARIO_ASSUMPTION,flow geometry assumption,docs/cards/pannusch2024.md,assumptions,SOURCE_DOCUMENTATION,AVAILABLE,homogeneous 1D,state,whole bed,whole bed,model domain,all t,model time,saturated,NOT_APPLICABLE,source model,PW-CARD,
PANNUSCH,P-DS1,D1_FINE,SOURCE_MEASURED_INPUT,fine PSD peak,puckworks/models/pannusch2024/solver.py,D1_FINE,SOURCE_INSTRUMENT_SUMMARY,AVAILABLE,24e-6,m,dry PSD representative peak,particles,dry PSD,constant,source campaign,dry,NOT_APPLICABLE,grinds 1.4-2.0,PW-SOLVER,
PANNUSCH,P-DS2,GRINDS.d_s2,SOURCE_FITTED_PARAMETER,coarse representative size,puckworks/models/pannusch2024/solver.py,GRINDS d_s2,SOURCE_FITTED_TABLE,AVAILABLE,301-332e-6,m,fitted two-grain class,particles,model parameter,per grind,fit campaign,model,NOT_APPLICABLE,grinds 1.4-2.0,PW-GRIND-TABLE,
PANNUSCH,P-PSI,GRINDS.psi,SOURCE_FITTED_PARAMETER,fines volume fraction,puckworks/models/pannusch2024/solver.py,GRINDS psi,SOURCE_FITTED_TABLE,AVAILABLE,0.19;0.23;0.22,1,fitted particle volume fraction,whole bed,model parameter,per grind,fit campaign,model,NOT_APPLICABLE,grinds 1.4-2.0,PW-GRIND-TABLE,
PANNUSCH,P-GRIND,grind,SOURCE_PROGRAMMED_INPUT,grinder setting label,puckworks/data/pannusch2024/experiment_grind_assignments.csv,grind assignment,SOURCE_EXPERIMENT_DESIGN,AVAILABLE,1.4;1.7;2.0,ordinal dial,apparatus-specific label,coffee preparation,source apparatus,per shot,campaign,dry,NOT_APPLICABLE,EK43 source apparatus,PW-GRIND-ASSIGN,
PANNUSCH,P-SOLUTE,solute,SOURCE_SCENARIO_ASSUMPTION,solute identity,puckworks/data/pannusch2024/table2_fitted_params.csv,solute,SOURCE_FITTED_TABLE,AVAILABLE,caffeine;trigonelline;5CQA;tds,identity,named analyte/pseudo,component,analytical/model,constant,campaign,saturated,NOT_APPLICABLE,four components,PW-FITTED-TABLE,
PANNUSCH,P-AB,A1/B1/A2/B2,SOURCE_FITTED_PARAMETER,Sherwood fit coefficients,puckworks/data/pannusch2024/table2_fitted_params.csv,A1 B1 A2 B2,SOURCE_FITTED_TABLE,AVAILABLE,component-specific,1,Pannusch Sherwood closure,particle classes,model parameter,constant,fit campaign,saturated,NOT_APPLICABLE,fitted range,PW-FITTED-TABLE,
PANNUSCH,P-KREF,K_ref,SOURCE_FITTED_PARAMETER,distribution coefficient reference,puckworks/models/pannusch2024/closures.py,vant_hoff_K Kref,SOURCE_FITTED_TABLE,AVAILABLE,component-specific,1,solid-liquid equilibrium,component/model,model parameter,constant,fit campaign,saturated,NOT_APPLICABLE,fitted range,PW-FITTED-TABLE,
PANNUSCH,P-GAMMA,gamma,SOURCE_FITTED_PARAMETER,van't Hoff slope,puckworks/models/pannusch2024/closures.py,vant_hoff_K gamma,SOURCE_FITTED_TABLE,AVAILABLE,component-specific,K,Pannusch equilibrium closure,component/model,model parameter,constant,fit campaign,saturated,NOT_APPLICABLE,fitted range,PW-FITTED-TABLE,
PANNUSCH,P-CS0,c_s0,SOURCE_FITTED_PARAMETER,initial solid concentration,puckworks/models/pannusch2024/solver.py,sp[c_s0],SOURCE_FITTED_TABLE,AVAILABLE,4.19-182,mg/mL,Pannusch solid concentration,particle phases,model parameter,t=0,fit campaign,saturated equilibrium,NOT_APPLICABLE,fitted range,PW-FITTED-TABLE,Not production inventory
PANNUSCH,P-CL1,cl1,SOURCE_SCENARIO_ASSUMPTION,normalization concentration,puckworks/models/pannusch2024/solver.py,simulate_fractions cl1,SOURCE_MODEL_INTERFACE,AVAILABLE,component/scenario,concentration,normalization basis,liquid phase,model normalization,constant,solver clock,equilibrium initial liquid,NOT_APPLICABLE,source model,PW-SOLVER,
PANNUSCH,P-EQ-IC,cl=K*c_s0,SOURCE_INITIAL_CONDITION,equilibrium initial liquid,puckworks/models/pannusch2024/solver.py,c0 initialization,SOURCE_MODEL_CONTRACT,AVAILABLE,K*c_s0,concentration,Pannusch phase equilibrium,whole bed liquid,model state,t=0,solver zero,saturated equilibrium,NOT_APPLICABLE,source model,PW-SOLVER,
PANNUSCH,P-TDS-PSEUDO,TDS uses caffeine molecule,SOURCE_SCENARIO_ASSUMPTION,pseudo-solute molecular identity,puckworks/models/pannusch2024/closures.py,SOLUTES[tds],SOURCE_CODE,AVAILABLE,caffeine-like,identity,pseudo molecule,component,model assumption,constant,model time,saturated,NOT_APPLICABLE,TDS only,PW-CLOSURES,
EWP,E-FLOW-MODE,boundary_mode=prescribed_flow,EXISTING_RUNTIME_BOUNDARY_INPUT,hydraulic boundary mode,scripts/prepare_case.py,boundary_mode,RUNTIME_CONSUMER,AVAILABLE,prescribed_flow,enum,case mode,whole basket inlet,boundary,run,solver clock,requires saturated/static eligible state,CONSUMED,qualified interface,EWP-PREPARE,
EWP,E-FLOW-TYPE,prescribedFlowBoundary.scheduleType,EXISTING_RUNTIME_BOUNDARY_INPUT,flow schedule type,scripts/prepare_case.py,scheduleType,RUNTIME_CONSUMER,AVAILABLE,constant|piecewiseLinear,enum,full-basket flow schedule,whole basket inlet,boundary,run,solver clock,eligible modes only,CONSUMED,XSV-FLOW-001,EWP-PREPARE,
EWP,E-FLOW-CONST,volumetricFlowRateM3PerS,EXISTING_RUNTIME_BOUNDARY_INPUT,volumetric flow rate,scripts/prepare_case.py,volumetricFlowRateM3PerS,RUNTIME_CONSUMER,AVAILABLE,finite >=0,m3/s,full-basket liquid volumetric flow,whole basket,puck inlet boundary,shot constant,solver clock,initially saturated/static Darcy restrictions,CONSUMED,XSV-FLOW-001,EWP-PREPARE,
EWP,E-FLOW-TIMES,timesS,EXISTING_RUNTIME_BOUNDARY_INPUT,schedule times,scripts/prepare_case.py,timesS,RUNTIME_CONSUMER,AVAILABLE,strict increasing covering run,s,solver schedule,whole basket inlet,boundary,piecewise endpoints,solver clock,eligible modes only,CONSUMED,XSV-FLOW-001,EWP-PREPARE,
EWP,E-FLOW-VALUES,volumetricFlowRatesM3PerS,EXISTING_RUNTIME_BOUNDARY_INPUT,volumetric flow schedule,scripts/prepare_case.py,volumetricFlowRatesM3PerS,RUNTIME_CONSUMER,AVAILABLE,finite >=0,m3/s,full-basket liquid volumetric flow,whole basket,puck inlet boundary,piecewise linear,solver clock,eligible modes only,CONSUMED,XSV-FLOW-001,EWP-PREPARE,
EWP,E-FLOW-TOL,absoluteFlowToleranceM3PerS/relativeFlowTolerance,EXISTING_NUMERICAL_CONTROL,flow numerical tolerance,scripts/prepare_case.py,tolerance keys,RUNTIME_CONSUMER,AVAILABLE,positive,m3/s;1,numerical,solver,numerical acceptance,run,solver clock,any prescribed-flow eligible,CONSUMED,XSV-FLOW-001,Never mappable,
EWP,E-RADIUS,geometry.basket_radius_m,EXISTING_RUNTIME_GEOMETRY_INPUT,basket radius,scripts/prepare_case.py,basket_radius_m,RUNTIME_CONSUMER,AVAILABLE,positive,m,nominal circular basket,whole basket,mesh geometry,constant,case,case state,CONSUMED,positive,EWP-PREPARE,
EWP,E-DOSE,coffee_bed.dry_dose_kg,EXISTING_RUNTIME_PROPERTY_INPUT,dry dose,scripts/prepare_case.py,dry_dose_kg,RUNTIME_CONSUMER,AVAILABLE,positive,kg,whole-basket dry coffee,whole basket,case property,constant,case,case state,CONSUMED,positive,EWP-PREPARE,
EWP,E-POROSITY,coffee_bed.initial_porosity,EXISTING_RUNTIME_PROPERTY_INPUT,bulk initial porosity,scripts/prepare_case.py,initial_porosity,RUNTIME_CONSUMER,AVAILABLE,0..1,1,bulk bed void fraction,whole bed,initial field/property,t=0,solver zero,case-selected,CONSUMED,0<phi<1,EWP-PREPARE,
EWP,E-SATURATION,wetting model/initial saturation selector,EXISTING_INITIAL_CONDITION_SELECTOR,initial saturation state,scripts/prepare_case.py,wetting and prescribed-flow eligibility,RUNTIME_CONSUMER,AVAILABLE,initially saturated eligible mode,state,bulk bed,whole bed,initial field,t=0,solver zero,saturated selector,CONSUMED,XSV-FLOW-001,EWP-PREPARE,
EWP,E-INLET-ZERO,inlet dissolvedConcentration=0,EXISTING_RUNTIME_BOUNDARY_INPUT,inlet solute concentration,scripts/prepare_case.py,0 field inlet,RUNTIME_CONSUMER,AVAILABLE,0,kg/m3,effective solute liquid,puck inlet,boundary,run,solver clock,case state,CONSUMED,current cases,EWP-PREPARE,
EWP,E-MU,liquid.dynamic_viscosity_Pa_s,EXISTING_RUNTIME_PROPERTY_INPUT,dynamic viscosity,scripts/prepare_case.py,dynamic_viscosity_Pa_s,RUNTIME_CONSUMER,AVAILABLE,positive,Pa s,effective case liquid,whole domain,property,constant,case,case state,CONSUMED,positive,EWP-PREPARE,
EWP,E-DEFF,liquid.effective_solute_diffusivity_m2_s,EXISTING_CONSTITUTIVE_PARAMETER,effective porous diffusivity,scripts/prepare_case.py,effective_solute_diffusivity_m2_s,RUNTIME_CONSUMER,AVAILABLE,nonnegative,m2/s,effective porous transport,whole domain/species,constitutive,constant,case,case state,CONSUMED,nonnegative,EWP-PREPARE,
EWP,E-PERMEABILITY,coffee_bed.saturated_permeability_m2,EXISTING_CONSTITUTIVE_PARAMETER,effective permeability,scripts/prepare_case.py,saturated_permeability_m2,RUNTIME_CONSUMER,AVAILABLE,positive,m2,effective bed hydraulics,whole bed,constitutive,case,solver clock,mode-dependent,CONSUMED,positive,EWP-PREPARE,
EWP,E-INVENTORY,initialExtractable/remainingExtractable,EXISTING_CONSTITUTIVE_PARAMETER,extractable inventory,scripts/prepare_case.py,initial_extractable_fraction_dry_basis,RUNTIME_CONSUMER,AVAILABLE,case/species,kg/kg dry,dry coffee inventory,whole bed/species,initial field,t=0,solver zero,case state,CONSUMED,model restrictions,EWP-PREPARE,
EWP,E-CAPACITY,saturation_concentration_kg_m3,EXISTING_CONSTITUTIVE_PARAMETER,liquid concentration capacity,scripts/prepare_case.py,saturation_concentration_kg_m3,RUNTIME_CONSUMER,AVAILABLE,positive,kg/m3,effective-solute liquid capacity,liquid phase,constitutive,constant,solver clock,case state,CONSUMED,positive,EWP-PREPARE,
EWP,E-KEXT,rate_constant_1_s,EXISTING_CONSTITUTIVE_PARAMETER,extraction rate constant,scripts/prepare_case.py,rate_constant_1_s,RUNTIME_CONSUMER,AVAILABLE,nonnegative,1/s,EWP source law,whole bed/species,constitutive,constant,solver clock,case state,CONSUMED,nonnegative,EWP-PREPARE,
EWP,E-END,time.end_s,EXISTING_OBSERVER_OR_RUN_CONTROL,run end time,scripts/prepare_case.py,end_s -> controlDict endTime,RUNTIME_CONSUMER,AVAILABLE,positive,s,solver run control,case,run control,endpoint,solver clock,case state,CONSUMED,positive,EWP-PREPARE,
EWP,E-FRACTIONS,fractionCollection,EXISTING_OBSERVER_OR_RUN_CONTROL,fraction observer bounds,scripts/prepare_case.py,fraction_collection_contract,RUNTIME_CONSUMER,AVAILABLE,optional,kg beverage bounds,observer,outlet,observer,run,solver/cumulative mass,case state,CONSUMED,optional,EWP-PREPARE,
EWP,E-PARTICLE,particle classes/grind label,NO_EXISTING_CONSUMER,particle representation,docs/MODEL_SPECIFICATION.md,none,NONE,NOT_AVAILABLE,none,none,none,none,none,none,none,none,NO_EXISTING_CONSUMER,none,EWP-CONSUMER-AUDIT,
PANNUSCH,P-RHO-CLOSURE,water_density(T),SOURCE_DERIVED_CLOSURE,temperature-dependent pure-water density,puckworks/models/pannusch2024/closures.py,water_density,SOURCE_CODE,AVAILABLE,Rackett/VDI function,kg/m3,pure-water closure,model liquid,source-model liquid property,temperature-dependent,model time,isothermal,NOT_APPLICABLE,80-98 degC,PW-CLOSURES,Internal constitutive closure; not a measured transferable input
PANNUSCH,P-RHO-FLOW-CONVERSION,RHO,SOURCE_FIXED_MODEL_CONSTANT,fixed density used by flow conversion,puckworks/models/pannusch2024/solver.py,RHO and simulate_fractions q expression,SOURCE_CODE,AVAILABLE,980,kg/m3,numeric water-equivalent conversion constant,flow conversion,internal flow adapter,constant,solver time,saturated model,NOT_APPLICABLE,implementation path,PW-SOLVER,Distinct from water_density(T); source does not authorize transfer or resolve flow units
PANNUSCH,P-D32-CLOSURE,D32,SOURCE_FIXED_MODEL_CONSTANT,Sauter mean diameter used by closure default,puckworks/models/pannusch2024/closures.py,D32,SOURCE_CODE,AVAILABLE,84e-6,m,fixed dry-bed Sauter diameter,particle population,Sherwood closure default,constant,model time,dry PSD basis,NOT_APPLICABLE,source model,PW-CLOSURES,
PANNUSCH,P-D32-RECOMPUTED,d32,SOURCE_DERIVED_CLOSURE,two-class harmonic surface-equivalent diameter,puckworks/models/pannusch2024/solver.py,simulate_fractions local d32,SOURCE_CODE,AVAILABLE,derived from psi d_s1 d_s2,m,fitted two-class representation,particle population per grind,solver mass-transfer closure,per grind,model time,model representation,NOT_APPLICABLE,grinds 1.4-2.0,PW-SOLVER,Not identical to fixed D32 authority
EWP,E-DENSITY,liquid.density_kg_m3 -> liquidDensity,EXISTING_RUNTIME_PROPERTY_INPUT,liquid density,scripts/prepare_case.py,validate_r1_scenario liquid.density_kg_m3; render liquidDensity; solver lookup,RUNTIME_CONSUMER,AVAILABLE,positive case property,kg/m3,effective case liquid property,whole liquid domain,case liquid/solver property,constant case property,case/solver clock,case-selected,CONSUMED,positive finite,EWP-PREPARE;EWP-SOLVER,
EWP,E-TEMP,liquid.temperature_K,DOCUMENTED_CONTEXT_WITH_NO_RUNTIME_CONSUMER,case liquid temperature metadata,scripts/prepare_case.py,validate_r1_scenario required liquid.temperature_K,VALIDATION_CONSUMER,AVAILABLE,required R1 case metadata,K,case metadata at fixed temperature,whole liquid domain,case validation only,constant case metadata,case,fixed-temperature assumption,VALIDATED_NOT_RENDERED_TO_SOLVER,required for R1 validation; no solved thermal field,EWP-PREPARE,Required metadata but not rendered as solver property
EWP,E-INITIAL-CONC,initial dissolvedConcentration fields,EXISTING_INITIAL_CONDITION_SELECTOR,initial dissolved-solute concentration state,scripts/prepare_case.py,generated zero initial fields; solver reset to zero,RUNTIME_CONSUMER,AVAILABLE_FIXED_ZERO,0,kg/m3,effective liquid solute concentration,whole liquid domain,initial field,t=0,solver zero,clean initial liquid,CONSUMED_FIXED_ZERO,current model initialization,EWP-PREPARE;EWP-SOLVER,No arbitrary nonzero runtime selector
EWP,E-SPECIES-ID,extraction.species[].id -> speciesOrder,EXISTING_RUNTIME_PROPERTY_INPUT,effective species identifier,scripts/prepare_case.py,indexed_species_contract id; render speciesOrder,RUNTIME_CONSUMER,AVAILABLE,ASCII identifier,identity,EWP indexed effective-solute identifier,species state,model selector,constant case property,case,indexed species mode,CONSUMED,identifier syntax only,EWP-PREPARE;EWP-SOLVER,Identifier does not establish chemical-definition identity
