family_id,source_identity,exact_dataset_ids,source_commit_or_package,rights_status,raw_or_processed,prior_target_exposure,physical_system,source_conditions,independent_unit,group_count_or_reason,measured_observable,observable_unit,uncertainty_available,current_ewp_component,possible_observation_operator,existing_use,additional_legitimate_use,strongest_claim_level,direct_parameter_transfer_possible,source_conditioned_calibration_possible,retrospective_grouped_test_possible,utility_class,utility_rationale,primary_limitation,architecture_implication,selected_quantitative_lane,selection_or_exclusion_reason,supporting_artifact_ids
g10_liquor_rheology,g10_liquor_rheology,g10_liquor_rheology/telis_romero_envelope,2058d0e947ee9eb92c52d64f6165b810f1fb4732,"paywalled (Wiley/Tandfonline, bot-blocked here); ranges/forms from snippets + open 2013 xref",REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,"G10 flow-closure mu(T,c)/rho(T,c); RC-2/RC-3 early-shot-bias check",source-defined; not promoted to fold,not enumerated: unselected Phase-A context,g10_liquor_rheology/telis_romero_envelope,Pa*s; kg/m^3; K; mass-fraction,n,source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,"G10 flow-closure mu(T,c)/rho(T,c); RC-2/RC-3 early-shot-bias check",SOURCE_MODEL_REPRODUCTION,CONSTRAINT_OR_CONTEXT,false,true,false,SOURCE_MODEL_REPRODUCTION,"g10_liquor_rheology/telis_romero_envelope: G10 flow-closure mu(T,c)/rho(T,c); RC-2/RC-3 early-shot-bias check; caveat: Sources measured INSTANT-COFFEE processing conc (dilute end 90% water); espresso TDS 4-12% solids is BELOW their range -> mu_espresso is EXTRAPOLATION toward pure water (~1.3-2x). Espresso IS Newtonian (validates single-mu assumption; power-law only >36% solids). Quantitative per-cell mu(T,c) needs Tim drop of Telis-Romero tables. No espresso-TDS measurement on file (new open sub-search).",CROSS_SOURCE_INCOMPATIBILITY,evaluate source observable bridge; do not infer EWP equivalence,,"g10_liquor_rheology/telis_romero_envelope: G10 flow-closure mu(T,c)/rho(T,c); RC-2/RC-3 early-shot-bias check; caveat: Sources measured INSTANT-COFFEE processing conc (dilute end 90% water); espresso TDS 4-12% solids is BELOW their range -> mu_espresso is EXTRAPOLATION toward pure water (~1.3-2x). Espresso IS Newtonian (validates single-mu assumption; power-law only >36% solids). Quantitative per-cell mu(T,c) needs Tim drop of Telis-Romero tables. No espresso-TDS measurement on file (new open sub-search).",PW_MANIFEST
g1_glassbead_analog,g1_glassbead_analog,g1_glassbead_analog/retention_kr,2058d0e947ee9eb92c52d64f6165b810f1fb4732,open arXiv:2501.13361 (no journal DOI); underlying bead data per cited 1966-2017 refs,REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,G1 Richards closure shape prior (egidi2018 solver); P3 hyp#2 machinery only,source-defined; not promoted to fold,not enumerated: unselected Phase-A context,g1_glassbead_analog/retention_kr,Pa*m; m^2; dimensionless,n,source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,G1 Richards closure shape prior (egidi2018 solver); P3 hyp#2 machinery only,SOURCE_MODEL_REPRODUCTION,CONSTRAINT_OR_CONTEXT,false,false,false,SOURCE_MODEL_REPRODUCTION,"g1_glassbead_analog/retention_kr: G1 Richards closure shape prior (egidi2018 solver); P3 hyp#2 machinery only; caveat: ANALOG (spherical glass beads, NOT coffee): transfers K_r(S) shape + S_r=0.07 + linearized-VG slope, NOT magnitude. Coffee retention search target (g1_retention_search_target.md) STAYS OPEN. Do NOT upgrade without a coffee measurement + §7.1 entry. Valid 0.2<S<0.8 only.",CROSS_SOURCE_INCOMPATIBILITY,evaluate source observable bridge; do not infer EWP equivalence,,"g1_glassbead_analog/retention_kr: G1 Richards closure shape prior (egidi2018 solver); P3 hyp#2 machinery only; caveat: ANALOG (spherical glass beads, NOT coffee): transfers K_r(S) shape + S_r=0.07 + linearized-VG slope, NOT magnitude. Coffee retention search target (g1_retention_search_target.md) STAYS OPEN. Do NOT upgrade without a coffee measurement + §7.1 entry. Valid 0.2<S<0.8 only.",PW_MANIFEST
g3_pump_characteristic,g3_pump_characteristic,g3_pump_characteristic/ulka_envelope,2058d0e947ee9eb92c52d64f6165b810f1fb4732,public (manufacturer datasheet; Decent blog; espressoaf community),REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,RC-3 machine-mode envelope bound; flow boundary-condition context,source-defined; not promoted to fold,not enumerated: unselected Phase-A context,g3_pump_characteristic/ulka_envelope,bar; mL/s; W; min,n (catalogue +/-15%),source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,RC-3 machine-mode envelope bound; flow boundary-condition context,CONDITIONAL_PREDICTIVE_EVALUATION,CONSTRAINT_OR_CONTEXT,false,true,false,CONDITIONAL_PREDICTIVE_EVALUATION,"g3_pump_characteristic/ulka_envelope: RC-3 machine-mode envelope bound; flow boundary-condition context; caveat: Manufacturer ENDPOINTS only measured (Q_free~10.8 mL/s, P_deadhead 15 bar, +/-15%); interior curve is CONCAVE DROOP not quadratic. True DE1 Q(P) is CLOSED ESP32 firmware (country-calibrated, unpublished). Does NOT replace waszkiewicz2025/brewer_quadratic (operative measured quad). Independent DE1 curve = TB bench pull or Decent request. 120V/60Hz only.",MODEL_INPUT_REQUIREMENT,evaluate source observable bridge; do not infer EWP equivalence,,"g3_pump_characteristic/ulka_envelope: RC-3 machine-mode envelope bound; flow boundary-condition context; caveat: Manufacturer ENDPOINTS only measured (Q_free~10.8 mL/s, P_deadhead 15 bar, +/-15%); interior curve is CONCAVE DROOP not quadratic. True DE1 Q(P) is CLOSED ESP32 firmware (country-calibrated, unpublished). Does NOT replace waszkiewicz2025/brewer_quadratic (operative measured quad). Independent DE1 curve = TB bench pull or Decent request. 120V/60Hz only.",PW_MANIFEST
gagne2021,gagne2021,gagne2021/grinder_arm_summary;gagne2021/shots;gagne2021/resistance_decline_summary,2058d0e947ee9eb92c52d64f6165b810f1fb4732,"J. Gagne, Coffee Ad Astra / Patreon (2021); no DOI, not peer-reviewed; 11 .shot files published alongside | J. Gagne, Coffee Ad Astra (2021); .shot files published alongside the post; no explicit licence (blog); not peer-reviewed | J. Gagne, Coffee Ad Astra (2021); derived summary of the published .shot files; not peer-reviewed",REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,"arms the kappa(t)-vs-viscosity-decline discrimination (needs the .shot traces, an acquisition target); grinder-contrast observable | arms the kappa(t)-vs-viscosity-decline discrimination (drive the flow chain with mu(TDS(t)) and test R-decline separation across the two grinder arms); DE1 blooming-profile trace complement | the kappa(t)-vs-viscosity discrimination gate (gate_gagne2021_viscosity_discrimination)",source-defined; not promoted to fold,not enumerated: unselected Phase-A context,gagne2021/grinder_arm_summary;gagne2021/shots;gagne2021/resistance_decline_summary,% (EY); g (retention); degC (temp); DE1 units (resistance); count (drips) | s ; bar ; mL s^-1 ; g ; degC (DE1 channels) | - (ratio),partial (SD on measured EY/retention; figure-read quantities have none) | n (single traces; ~20% end-of-shot flow-sensor drift documented) | n (single traces per shot),source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,"arms the kappa(t)-vs-viscosity-decline discrimination (needs the .shot traces, an acquisition target); grinder-contrast observable | arms the kappa(t)-vs-viscosity-decline discrimination (drive the flow chain with mu(TDS(t)) and test R-decline separation across the two grinder arms); DE1 blooming-profile trace complement | the kappa(t)-vs-viscosity discrimination gate (gate_gagne2021_viscosity_discrimination)",CONDITIONAL_PREDICTIVE_EVALUATION,CONSTRAINT_OR_CONTEXT,false,true,false,CONDITIONAL_PREDICTIVE_EVALUATION,"gagne2021/grinder_arm_summary;gagne2021/shots;gagne2021/resistance_decline_summary: arms the kappa(t)-vs-viscosity-decline discrimination (needs the .shot traces, an acquisition target); grinder-contrast observable; caveat: 11 .shot P/flow/T traces NOT held (external acquisition target data/gagne2021_shots/; verify links); resistance is DE1-firmware instrument-defined; ~20% end-of-shot flow-sensor drift; no PSD; single coffee/machine/profile",MODEL_INPUT_REQUIREMENT,evaluate source observable bridge; do not infer EWP equivalence,,"gagne2021/grinder_arm_summary;gagne2021/shots;gagne2021/resistance_decline_summary: arms the kappa(t)-vs-viscosity-decline discrimination (needs the .shot traces, an acquisition target); grinder-contrast observable; caveat: 11 .shot P/flow/T traces NOT held (external acquisition target data/gagne2021_shots/; verify links); resistance is DE1-firmware instrument-defined; ~20% end-of-shot flow-sensor drift; no PSD; single coffee/machine/profile",PW_MANIFEST
gloess2013,gloess2013,gloess2013/de_espresso_endpoint,2058d0e947ee9eb92c52d64f6165b810f1fb4732,CC-BY (open access; Eur. Food Res. Technol. 236:607-627; DOI 10.1007/s00217-013-1917-x),REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,no gate -- low-priority cross-check anchor only (EY ~20% at TDS ~5.5% sits below cameron2020's 29.6% inventory ceiling),source-defined; not promoted to fold,not enumerated: unselected Phase-A context,gloess2013/de_espresso_endpoint,g; ml; s; degC; bar; um; percent w/w; mg; ml 0.1M NaOH; area counts,partial (published +/- on text_table rows only; figure_read rows carry NONE),source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,no gate -- low-priority cross-check anchor only (EY ~20% at TDS ~5.5% sits below cameron2020's 29.6% inventory ceiling),CONDITIONAL_PREDICTIVE_EVALUATION,CONSTRAINT_OR_CONTEXT,false,true,false,CONDITIONAL_PREDICTIVE_EVALUATION,"gloess2013/de_espresso_endpoint: no gate -- low-priority cross-check anchor only (EY ~20% at TDS ~5.5% sits below cameron2020's 29.6% inventory ceiling); caveat: ONE in-scope condition only (DE Dalla Corte espresso); the paper's 8 other methods are non-espresso and NOT transcribed. Each sample is a composite of FIVE double shots, so the spread is between composites, not between shots. Headline TDS/EY are FIGURE-READS -- the ESM tables were not retrieved. Beverage given as VOLUME (60 ml) with no density, so any volume->mass conversion is an assumption. PSD is mode+FWHM only (400/220 um). Single coffee, single operating point: no parameter dependence is testable.",MODEL_INPUT_REQUIREMENT,evaluate source observable bridge; do not infer EWP equivalence,,"gloess2013/de_espresso_endpoint: no gate -- low-priority cross-check anchor only (EY ~20% at TDS ~5.5% sits below cameron2020's 29.6% inventory ceiling); caveat: ONE in-scope condition only (DE Dalla Corte espresso); the paper's 8 other methods are non-espresso and NOT transcribed. Each sample is a composite of FIVE double shots, so the spread is between composites, not between shots. Headline TDS/EY are FIGURE-READS -- the ESM tables were not retrieved. Beverage given as VOLUME (60 ml) with no density, so any volume->mass conversion is an assumption. PSD is mode+FWHM only (400/220 um). Single coffee, single operating point: no parameter dependence is testable.",PW_MANIFEST
grudeva2025,grudeva2025,grudeva2025/params;grudeva2025/exp13_vial_stats,2058d0e947ee9eb92c52d64f6165b810f1fb4732,thesis + EJAM CC-BY (DOI 10.1017/S095679252500018X) | reference repo declares no SPDX license; DIRECT WRITTEN PERMISSION from Dr. Yoana Grudeva 2026-08-14 (LinkedIn) covering code and data - full evidence retained privately (docs/permissions/grudeva2025.md; #73); paper CC-BY is a separate record,REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,item 1.7b: two named configs; adjudicated kappa/P_app | item 1.7b G3: per-vial masses within 1 SD,source-defined; not promoted to fold,not enumerated: unselected Phase-A context,grudeva2025/params;grudeva2025/exp13_vial_stats,SI mixed | g,n | y (SD),source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,item 1.7b: two named configs; adjudicated kappa/P_app | item 1.7b G3: per-vial masses within 1 SD,CONDITIONAL_PREDICTIVE_EVALUATION,CONSTRAINT_OR_CONTEXT,false,true,false,CONDITIONAL_PREDICTIVE_EVALUATION,"grudeva2025/params;grudeva2025/exp13_vial_stats: item 1.7b: two named configs; adjudicated kappa/P_app; caveat: kappa row adjudicated 2.2e-15 (decade typo); P_app 9.2e5 (printed 9.2e-6 typo); two configs not merged; rights basis is UNCHANGED article/thesis CC-BY - transcribed from the publications, NOT from the upstream repo, so the 2026-08-14 Grudeva permission (#73) is a cross-reference only and does not replace it",MODEL_INPUT_REQUIREMENT,evaluate source observable bridge; do not infer EWP equivalence,,"grudeva2025/params;grudeva2025/exp13_vial_stats: item 1.7b: two named configs; adjudicated kappa/P_app; caveat: kappa row adjudicated 2.2e-15 (decade typo); P_app 9.2e5 (printed 9.2e-6 typo); two configs not merged; rights basis is UNCHANGED article/thesis CC-BY - transcribed from the publications, NOT from the upstream repo, so the 2026-08-14 Grudeva permission (#73) is a cross-reference only and does not replace it",PW_MANIFEST
hargarten2020,hargarten2020,hargarten2020/swelling_progress;hargarten2020/scalar_anchors,2058d0e947ee9eb92c52d64f6165b810f1fb4732,"CC BY-NC (JSFA, open access); PSD/single-particle figures NOT digitized (owed) | CC BY-NC (JSFA)",REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,DATA-ONLY empirical anchor for the (not-yet-open) bed_dynamics swelling/erosion backlog; NOT a registered component | DATA-ONLY calibration targets for a future swelling/erosion closure; NOT a registered component,source-defined; not promoted to fold,not enumerated: unselected Phase-A context,hargarten2020/swelling_progress;hargarten2020/scalar_anchors,percent; degC; s | percent; um; dimensionless; EK43-dial,partial (population-level; no per-value SD printed) | partial (SD on Δd_rel only; slopes carry p-values),source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,DATA-ONLY empirical anchor for the (not-yet-open) bed_dynamics swelling/erosion backlog; NOT a registered component | DATA-ONLY calibration targets for a future swelling/erosion closure; NOT a registered component,SOURCE_MODEL_REPRODUCTION,CONSTRAINT_OR_CONTEXT,false,true,false,SOURCE_MODEL_REPRODUCTION,"hargarten2020/swelling_progress;hargarten2020/scalar_anchors: DATA-ONLY empirical anchor for the (not-yet-open) bed_dynamics swelling/erosion backlog; NOT a registered component; caveat: Ambient pressure ONLY -- the ~9 bar espresso regime is explicitly NOT covered (card's key silence). Progress >100% @4min = 20-min-normalization artifact, not overshoot. Two roasts, demineralized water. Pairs with Mo 2021/2022 swelling/erosion models (not implemented) to become runtime-relevant. Figures (PSD dry/wet, single-particle time-courses) OWED as a digitization drop.",CROSS_SOURCE_INCOMPATIBILITY,evaluate source observable bridge; do not infer EWP equivalence,,"hargarten2020/swelling_progress;hargarten2020/scalar_anchors: DATA-ONLY empirical anchor for the (not-yet-open) bed_dynamics swelling/erosion backlog; NOT a registered component; caveat: Ambient pressure ONLY -- the ~9 bar espresso regime is explicitly NOT covered (card's key silence). Progress >100% @4min = 20-min-normalization artifact, not overshoot. Two roasts, demineralized water. Pairs with Mo 2021/2022 swelling/erosion models (not implemented) to become runtime-relevant. Figures (PSD dry/wet, single-particle time-courses) OWED as a digitization drop.",PW_MANIFEST
khamitova2020,khamitova2020,khamitova2020/tamping,2058d0e947ee9eb92c52d64f6165b810f1fb4732,"Khamitova PhD dissertation, University of Camerino (2020); no DOI",REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,weak-effect reference (tamping ~ null on per-species concentration at fixed 1:2 ratio); multi-compound espresso chemistry beside pannusch/schmieder,source-defined; not promoted to fold,not enumerated: unselected Phase-A context,khamitova2020/tamping,mg/40mL ; mg/mL ; % RSD ; bar ; degC,y (per-condition RSD %),source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,weak-effect reference (tamping ~ null on per-species concentration at fixed 1:2 ratio); multi-compound espresso chemistry beside pannusch/schmieder,TREND_OR_SIGN_TEST,CONSTRAINT_OR_CONTEXT,false,true,false,TREND_OR_SIGN_TEST,"khamitova2020/tamping: weak-effect reference (tamping ~ null on per-species concentration at fixed 1:2 ratio); multi-compound espresso chemistry beside pannusch/schmieder; caveat: tamping-force effect is approximately null (narrow variation) at fixed 1:2 ratio; single rig/coffee; the 3D model params (Tables 5.8-5.10) are NOT transcribed (rig-specific, superseded); precursor of the angeloni2023 lineage",MODEL_INPUT_REQUIREMENT,evaluate source observable bridge; do not infer EWP equivalence,,"khamitova2020/tamping: weak-effect reference (tamping ~ null on per-species concentration at fixed 1:2 ratio); multi-compound espresso chemistry beside pannusch/schmieder; caveat: tamping-force effect is approximately null (narrow variation) at fixed 1:2 ratio; single rig/coffee; the 3D model params (Tables 5.8-5.10) are NOT transcribed (rig-specific, superseded); precursor of the angeloni2023 lineage",PW_MANIFEST
khomyakov2020,khomyakov2020,g10_liquor_rheology/khomyakov_kinematic_viscosity,2058d0e947ee9eb92c52d64f6165b810f1fb4732,CC BY 3.0 (IOP; open access),REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,"G10 flow-closure nu(T,c) measured second source; RC-2/RC-3 early-shot-bias context",source-defined; not promoted to fold,not enumerated: unselected Phase-A context,g10_liquor_rheology/khomyakov_kinematic_viscosity,wt%; degC; mm^2/s,n (authors call regressions approximate),source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,"G10 flow-closure nu(T,c) measured second source; RC-2/RC-3 early-shot-bias context",SOURCE_MODEL_REPRODUCTION,CONSTRAINT_OR_CONTEXT,false,true,false,SOURCE_MODEL_REPRODUCTION,"g10_liquor_rheology/khomyakov_kinematic_viscosity: G10 flow-closure nu(T,c) measured second source; RC-2/RC-3 early-shot-bias context; caveat: MEASURED kinematic viscosity 15-70 wt% x 20-80 C; nu monotone down in T, up in solids (smoke-tested). DOMAIN GUARD: >=15 wt%, ABOVE espresso TDS (4-12 wt%) -> espresso is an EXTRAPOLATION; do not extrapolate below 15 wt% silently. Industrial soluble-coffee extract, not fraction-resolved espresso. Printed density (+0.8*T sign conflict) and dynamic-viscosity power-law (literal eval 5.8-1194x off Table 1) equations QUARANTINED in-dir (_FLAGGED/_QUARANTINED.csv), NOT loaded. See docs/cards/khomyakov2020.md.",CROSS_SOURCE_INCOMPATIBILITY,evaluate source observable bridge; do not infer EWP equivalence,,"g10_liquor_rheology/khomyakov_kinematic_viscosity: G10 flow-closure nu(T,c) measured second source; RC-2/RC-3 early-shot-bias context; caveat: MEASURED kinematic viscosity 15-70 wt% x 20-80 C; nu monotone down in T, up in solids (smoke-tested). DOMAIN GUARD: >=15 wt%, ABOVE espresso TDS (4-12 wt%) -> espresso is an EXTRAPOLATION; do not extrapolate below 15 wt% silently. Industrial soluble-coffee extract, not fraction-resolved espresso. Printed density (+0.8*T sign conflict) and dynamic-viscosity power-law (literal eval 5.8-1194x off Table 1) equations QUARANTINED in-dir (_FLAGGED/_QUARANTINED.csv), NOT loaded. See docs/cards/khomyakov2020.md.",PW_MANIFEST
liang2021,liang2021,liang2021/fig3_tds;liang2021/fig4_E;liang2021/fig5_cupping,2058d0e947ee9eb92c52d64f6165b810f1fb4732,open access (DOI 10.1038/s41598-021-85787-1),REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,"item 1.3: refit K*E_max (Eq 11, R_brew>=3) | item 1.3: E_oven kernel (Eq 22); equilibrium-E flatness | secondary (cupping K*E_max per roast)",source-defined; not promoted to fold,not enumerated: unselected Phase-A context,liang2021/fig3_tds;liang2021/fig4_E;liang2021/fig5_cupping,percent; g/g,n,source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,"item 1.3: refit K*E_max (Eq 11, R_brew>=3) | item 1.3: E_oven kernel (Eq 22); equilibrium-E flatness | secondary (cupping K*E_max per roast)",CONDITIONAL_PREDICTIVE_EVALUATION,CONSTRAINT_OR_CONTEXT,false,true,false,CONDITIONAL_PREDICTIVE_EVALUATION,"liang2021/fig3_tds;liang2021/fig4_E;liang2021/fig5_cupping: item 1.3: refit K*E_max (Eq 11, R_brew>=3); caveat: digitized subset ~42 of 99 pts; refit K*E_max=0.2186 vs card 0.215+/-0.002; R_brew>=3 (excl. moist-sludge R=2)",MODEL_INPUT_REQUIREMENT,evaluate source observable bridge; do not infer EWP equivalence,,"liang2021/fig3_tds;liang2021/fig4_E;liang2021/fig5_cupping: item 1.3: refit K*E_max (Eq 11, R_brew>=3); caveat: digitized subset ~42 of 99 pts; refit K*E_max=0.2186 vs card 0.215+/-0.002; R_brew>=3 (excl. moist-sludge R=2)",PW_MANIFEST
maille2024,maille2024,maille2024/materials;maille2024/phi;maille2024/psd_hybrid;maille2024/psd_dispersion;maille2024/kinetics_caffeine_3cqa;maille2024/kinetics_organic_acids;maille2024/equilibrium_concentrations;maille2024/normalized_curves;maille2024/ssa;maille2024/particle_porosity;maille2024/extraction_curves,2058d0e947ee9eb92c52d64f6165b810f1fb4732,"Maille PhD thesis, U. Sheffield 2024 (unredacted tables); White Rose eTheses; digitized 2026-07-25 | Maille PhD thesis, U. Sheffield 2024; White Rose eTheses; figures digitized 2026-07-25",REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,"material legend for all maille datasets (Sample ID -> roast, sieve class) | PSD->fast-fraction phi closure; E1 shell-depth gate (analysis.maille2024) | hybrid PSD (D[4,3], D[3,2], vol<186um); theta_v_fines consistency gate | PSD by LIQUID vs AIR dispersion; a P1 grind-normalization hazard (fines fraction method-dependent up to ~2x) | two-regime lambda_fast/lambda_slow per-material fits (caffeine, 3-CQA); early-time (<30s) kinetics priors | two-regime kinetics (citric, malic, quinic); early-time per-species priors | per-species equilibrium inventory at 180/300/600 s (known 0.028 g/mL brew ratio); pairs with bruno2026 roasted-bean composition | the only tabulated early-time (10-180 s) normalized extraction curves (OmegaA-C x 5 compounds) | specific surface area (Kr adsorption) all materials; PSD->SSA->porosity->lambda_slow chain | particle porosity eps_p/eps_open/eps_closed + densities (Hg intrusion) | two-regime Eq-6.2 source-curve reproduction (analysis.maille2024.two_regime_reproduction)",source-defined; not promoted to fold,not enumerated: unselected Phase-A context,maille2024/materials;maille2024/phi;maille2024/psd_hybrid;maille2024/psd_dispersion;maille2024/kinetics_caffeine_3cqa;maille2024/kinetics_organic_acids;maille2024/equilibrium_concentrations;maille2024/normalized_curves;maille2024/ssa;maille2024/particle_porosity;maille2024/extraction_curves,- ; um | - | um ; - | s ; - ; percent | mg/L | s ; - | cm2/g | g/cm3 ; -,n | y (95% CI per param) | y (95% CI; some unreported '*') | y (SD per cell) | y (SD) | n (replicate-resolved points),source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,"material legend for all maille datasets (Sample ID -> roast, sieve class) | PSD->fast-fraction phi closure; E1 shell-depth gate (analysis.maille2024) | hybrid PSD (D[4,3], D[3,2], vol<186um); theta_v_fines consistency gate | PSD by LIQUID vs AIR dispersion; a P1 grind-normalization hazard (fines fraction method-dependent up to ~2x) | two-regime lambda_fast/lambda_slow per-material fits (caffeine, 3-CQA); early-time (<30s) kinetics priors | two-regime kinetics (citric, malic, quinic); early-time per-species priors | per-species equilibrium inventory at 180/300/600 s (known 0.028 g/mL brew ratio); pairs with bruno2026 roasted-bean composition | the only tabulated early-time (10-180 s) normalized extraction curves (OmegaA-C x 5 compounds) | specific surface area (Kr adsorption) all materials; PSD->SSA->porosity->lambda_slow chain | particle porosity eps_p/eps_open/eps_closed + densities (Hg intrusion) | two-regime Eq-6.2 source-curve reproduction (analysis.maille2024.two_regime_reproduction)",SOURCE_MODEL_REPRODUCTION,CONSTRAINT_OR_CONTEXT,false,true,false,SOURCE_MODEL_REPRODUCTION,"maille2024/materials;maille2024/phi;maille2024/psd_hybrid;maille2024/psd_dispersion;maille2024/kinetics_caffeine_3cqa;maille2024/kinetics_organic_acids;maille2024/equilibrium_concentrations;maille2024/normalized_curves;maille2024/ssa;maille2024/particle_porosity;maille2024/extraction_curves: material legend for all maille datasets (Sample ID -> roast, sieve class); caveat: 21 materials; single Colombian origin; two roasts; coarse sieved + full-PSD",CROSS_SOURCE_INCOMPATIBILITY,evaluate source observable bridge; do not infer EWP equivalence,,"maille2024/materials;maille2024/phi;maille2024/psd_hybrid;maille2024/psd_dispersion;maille2024/kinetics_caffeine_3cqa;maille2024/kinetics_organic_acids;maille2024/equilibrium_concentrations;maille2024/normalized_curves;maille2024/ssa;maille2024/particle_porosity;maille2024/extraction_curves: material legend for all maille datasets (Sample ID -> roast, sieve class); caveat: 21 materials; single Colombian origin; two roasts; coarse sieved + full-PSD",PW_MANIFEST
mckeonaloe2022,mckeonaloe2022,mckeonaloe2022/basket_open_area_geometry,2058d0e947ee9eb92c52d64f6165b810f1fb4732,"R. McKeon Aloe, Medium / Coffee Data Science (2022); non-peer-reviewed; no DOI",REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,G9 exit-boundary geometry seed (complements schulman2011 multi-brand table); orifice open-area reference,source-defined; not promoted to fold,not enumerated: unselected Phase-A context,mckeonaloe2022/basket_open_area_geometry,% ; um,"y (std ~30 um; single specimen n=1, no pixel calibration)",source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,G9 exit-boundary geometry seed (complements schulman2011 multi-brand table); orifice open-area reference,CONDITIONAL_PREDICTIVE_EVALUATION,CONSTRAINT_OR_CONTEXT,false,true,false,CONDITIONAL_PREDICTIVE_EVALUATION,"mckeonaloe2022/basket_open_area_geometry: G9 exit-boundary geometry seed (complements schulman2011 multi-brand table); orifice open-area reference; caveat: n=1 basket each; mean diameters read off bar charts (mean_hole_diam_approx=True); hole count / plate thickness not provided; holes taper wider on coffee face (exit face flow-limiting); geometry only, NO dP/resistance -> does NOT close G9",MODEL_INPUT_REQUIREMENT,evaluate source observable bridge; do not infer EWP equivalence,,"mckeonaloe2022/basket_open_area_geometry: G9 exit-boundary geometry seed (complements schulman2011 multi-brand table); orifice open-area reference; caveat: n=1 basket each; mean diameters read off bar charts (mean_hole_diam_approx=True); hole count / plate thickness not provided; holes taper wider on coffee face (exit face flow-limiting); geometry only, NO dP/resistance -> does NOT close G9",PW_MANIFEST
