item_id,subsystem,exact_ewp_name,symbol,unit,production_consumer,source_families,user_known,directly_measurable,derivable_operator,nuisance_treatment,inverse_identifiability_status,structural_identifiability_status,practical_identifiability_status,per_shot_calibration_required,required_for_selected_observable,current_default,prior_sensitivity_authority,architecture_class,recommended_treatment,decision_changed_by_measurement
resistance,hydraulics,effectiveResistance,R,Pa s/m3,production config/solver/postprocess,source-specific,false,false,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,WEAKLY_IDENTIFIED_FROM_PRIOR_RESULT,false,true,production unchanged,XSV-WASZKIEWICZ-DYNAMIC-HYD-001,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,true
command,boundary,machineCommand,u,source native,production config/solver/postprocess,source-specific,true,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,USER_KNOWN_OR_MEASURED,condition/collapse/marginalize; no adoption,false
achieved_boundary,boundary,achievedPressureFlow,"p,Q","Pa,m3/s",production config/solver/postprocess,source-specific,false,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
temperature,properties,temperature,T,K,production config/solver/postprocess,source-specific,true,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,USER_KNOWN_OR_MEASURED,condition/collapse/marginalize; no adoption,false
viscosity,properties,viscosity,mu,Pa s,production config/solver/postprocess,source-specific,false,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
wetting,wetting,wettingFront,s,m,production config/solver/postprocess,source-specific,false,false,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
deformation,structure,puckDeformation,delta,m,production config/solver/postprocess,source-specific,false,false,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
beverage_mass,observation,beverageMass,m_b,g,production config/solver/postprocess,source-specific,false,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,true,production unchanged,NOT_YET_ADJUDICATED,USER_KNOWN_OR_MEASURED,condition/collapse/marginalize; no adoption,false
rate,chemistry,extractionRate,k,1/s,production config/solver/postprocess,source-specific,false,false,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,true,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
total_inventory,chemistry,totalInventory,M0,g,production config/solver/postprocess,source-specific,false,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,true
extractable_inventory,chemistry,referenceExtractableInventory,Mref,g,production config/solver/postprocess,source-specific,false,false,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
initial_solid,chemistry,initialSolidQuantity,Ms0,kg/m3,production config/solver/postprocess,source-specific,false,false,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
cs0,chemistry,c_s0,c_s0,kg/m3,production config/solver/postprocess,source-specific,false,false,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,true
fraction_observer,observation,fractionObserver,F_j,share,production config/solver/postprocess,source-specific,false,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,true,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
retained_spent,closure,retainedAndSpentTerms,"M_r,M_s",g,production config/solver/postprocess,source-specific,false,false,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
cup_outputs,output,cupMassTdsEySpecies,cup,"g,%,mg",production config/solver/postprocess,source-specific,false,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
