family_id,dataset_id,manifest_source_card,manifest_source_artifact,license_access,manifest_verified
g10_liquor_rheology,g10_liquor_rheology/telis_romero_envelope,g10_liquor_rheology,"Telis-Romero 2001 (J.Food Process Eng 24,217; DOI 10.1111/j.1745-4530.2001.tb00541.x) + 2000 (Int.J.Food Prop 3,375; DOI 10.1080/10942910009524642); 2013 cross-check DOI 10.1080/10942912.2013.833221","paywalled (Wiley/Tandfonline, bot-blocked here); ranges/forms from snippets + open 2013 xref",True
g10_liquor_rheology,g10_liquor_rheology/telisromero2001_closures,telisromero2001,Telis-Romero et al. J. Food Process Eng. 24 (2001) 217 (DOI 10.1111/j.1745-4530.2001.tb00542.x) Eqs (10)/(12)/(13) fitted closures + Table-1 eta / Table-2 K anchor points,"paywalled (Wiley, bot-blocked here); coefficients + anchors transcribed from docs/cards/telisromero2001.md, primary Tables 1-2 NOT redistributed",True
g10_liquor_rheology,g10_liquor_rheology/telisromero2001_tables,telisromero2001,"Telis-Romero et al. J. Food Process Eng. 24 (2001) 217 Table 1 (24 eta cells, Newtonian, X_w 76-90% x T 295-365K) + Table 2 (27 K + 27 n cells, power-law, X_w 49-64% x T 274-353K); source md in data/telisromero2001/","paywalled (Wiley); tables digitized by author-side drop, not redistributed beyond this repo",True
g10_liquor_rheology,g10_liquor_rheology/telisromero2000_thermal,telisromero2000,Telis-Romero et al. Int. J. Food Prop. 3(3) (2000) 375 (DOI 10.1080/10942910009524643) Eqs (1)/(3)/(4)/(6) direct rho/cp/k/alpha closures + Fig 2-5 endpoint/water-limit anchors,"paywalled (Tandfonline, bot-blocked here); coefficients + anchors from docs/cards/telisromero2000.md, Figs 2-5 NOT digitized/redistributed",True
g10_liquor_rheology,g10_liquor_rheology/khomyakov_kinematic_viscosity,khomyakov2020,"Khomyakov et al. IOP CSEES 548,022040 (2020) Table 1 (measured kinematic viscosity; 10 solids x 6 temps)",CC BY 3.0 (IOP; open access),True
g1_glassbead_analog,g1_glassbead_analog/retention_kr,g1_glassbead_analog,arXiv:2501.13361 App. B (Sweijen2017/Culligan2004/Hilpert-Miller2001/Topp-Miller1966 compiled),open arXiv:2501.13361 (no journal DOI); underlying bead data per cited 1966-2017 refs,True
g3_pump_characteristic,g3_pump_characteristic/ulka_envelope,g3_pump_characteristic,Ulka/Repa catalogue (EAX5/EAP5/EP5 datasheets); Decent blog (perfectly_calibrating_decent_flow_measurements); espressoaf flow_and_pressure,public (manufacturer datasheet; Decent blog; espressoaf community),True
gagne2021,gagne2021/grinder_arm_summary,gagne2021,Gagne 2021 (Coffee Ad Astra) blog; grinder-arm means (EG-1+SSP ULF n=6 vs Niche n=5) EY/retention/temperature/resistance/drips,"J. Gagne, Coffee Ad Astra / Patreon (2021); no DOI, not peer-reviewed; 11 .shot files published alongside",True
gagne2021,gagne2021/shots,gagne2021,"11 published DE1 .shot files (shotfiles/); flow-controlled blooming profile, EG-1+SSP ULF vs Niche, 18 g 1:4","J. Gagne, Coffee Ad Astra (2021); .shot files published alongside the post; no explicit licence (blog); not peer-reviewed",True
gagne2021,gagne2021/resistance_decline_summary,gagne2021,"per-shot post-bloom apparent-resistance decline ratio (peak/end of R=P/Q), derived from the 11 DE1 .shot traces","J. Gagne, Coffee Ad Astra (2021); derived summary of the published .shot files; not peer-reviewed",True
gloess2013,gloess2013/de_espresso_endpoint,gloess2013,Table 1 + text (exact) and Figs 4a/4c-g/7a (figure-read),CC-BY (open access; Eur. Food Res. Technol. 236:607-627; DOI 10.1007/s00217-013-1917-x),True
grudeva2025,grudeva2025/params,grudeva2025,card Parameters table (S1 Table 3.1 + S2 Table 1),thesis + EJAM CC-BY (DOI 10.1017/S095679252500018X),True
grudeva2025,grudeva2025/exp13_vial_stats,grudeva2025,github YoanaGrudeva/espresso-model exp13.csv (Fig 2.3/6.8),reference repo declares no SPDX license; DIRECT WRITTEN PERMISSION from Dr. Yoana Grudeva 2026-08-14 (LinkedIn) covering code and data - full evidence retained privately (docs/permissions/grudeva2025.md; #73); paper CC-BY is a separate record,True
hargarten2020,hargarten2020/swelling_progress,hargarten2020,"Hargarten, Kuhn & Briesen, J. Sci. Food Agric. 100(11) (2020) Table 2 (swelling progress % at 30s/4min, medium/light roast x 80/25C; 8 printed values)","CC BY-NC (JSFA, open access); PSD/single-particle figures NOT digitized (owed)",True
hargarten2020,hargarten2020/scalar_anchors,hargarten2020,"Hargarten et al. 2020 printed scalar anchors (Δd_rel ~15%, size-independence slopes, dry/wet PSD modes, aspect ratio, EK43 dials)",CC BY-NC (JSFA),True
khamitova2020,khamitova2020/tamping,khamitova2020,PhD dissertation Tables 5.2-5.6 — total CQA / caffeine / trigonelline / nicotinic acid (mg per 40 mL & per mL + RSD) across pressure x temperature x tamping force 10/15/20/30 kgF; Table 5.6 ground-coffee assay,"Khamitova PhD dissertation, University of Camerino (2020); no DOI",True
liang2021,liang2021/fig3_tds,liang2021,"Sci. Rep. 11,6904 Fig 3 (TDS vs R_brew, 1-L)",open access (DOI 10.1038/s41598-021-85787-1),True
liang2021,liang2021/fig4_E,liang2021,"Sci. Rep. 11,6904 Fig 4 (E, E_oven vs R_brew)",open access (DOI 10.1038/s41598-021-85787-1),True
liang2021,liang2021/fig5_cupping,liang2021,"Sci. Rep. 11,6904 Fig 5 (cupping)",open access (DOI 10.1038/s41598-021-85787-1),True
maille2024,maille2024/materials,maille2024,Table 5.1,"Maille PhD thesis, U. Sheffield 2024 (unredacted tables); White Rose eTheses; digitized 2026-07-25",True
maille2024,maille2024/phi,maille2024,Table 6.3,"Maille PhD thesis, U. Sheffield 2024 (unredacted tables); White Rose eTheses; digitized 2026-07-25",True
maille2024,maille2024/psd_hybrid,maille2024,Table 5.4,"Maille PhD thesis, U. Sheffield 2024 (unredacted tables); White Rose eTheses; digitized 2026-07-25",True
maille2024,maille2024/psd_dispersion,maille2024,Table 5.2,"Maille PhD thesis, U. Sheffield 2024 (unredacted tables); White Rose eTheses; digitized 2026-07-25",True
maille2024,maille2024/kinetics_caffeine_3cqa,maille2024,Table 6.4,"Maille PhD thesis, U. Sheffield 2024 (unredacted tables); White Rose eTheses; digitized 2026-07-25",True
maille2024,maille2024/kinetics_organic_acids,maille2024,Table 6.5,"Maille PhD thesis, U. Sheffield 2024 (unredacted tables); White Rose eTheses; digitized 2026-07-25",True
maille2024,maille2024/equilibrium_concentrations,maille2024,Table 5.11,"Maille PhD thesis, U. Sheffield 2024 (unredacted tables); White Rose eTheses; digitized 2026-07-25",True
maille2024,maille2024/normalized_curves,maille2024,Table 5.10,"Maille PhD thesis, U. Sheffield 2024 (unredacted tables); White Rose eTheses; digitized 2026-07-25",True
maille2024,maille2024/ssa,maille2024,Table 5.6,"Maille PhD thesis, U. Sheffield 2024 (unredacted tables); White Rose eTheses; digitized 2026-07-25",True
maille2024,maille2024/particle_porosity,maille2024,Table 5.9,"Maille PhD thesis, U. Sheffield 2024 (unredacted tables); White Rose eTheses; digitized 2026-07-25",True
maille2024,maille2024/extraction_curves,maille2024,Figs 4.6-4.10 (material Omega_A),"Maille PhD thesis, U. Sheffield 2024; White Rose eTheses; figures digitized 2026-07-25",True
mckeonaloe2022,mckeonaloe2022/basket_open_area_geometry,mckeonaloe2022,Medium (Coffee Data Science) post; open-area + hole-diameter bar charts (2 baskets Wafo Classic/VST x 2 faces exit/coffee),"R. McKeon Aloe, Medium / Coffee Data Science (2022); non-peer-reviewed; no DOI",True
mo2023,mo2023/forchheimer,mo2023,arXiv:2305.03911 Tables 2-5 (24 microCT samples),preprint arXiv:2305.03911 (no journal DOI),True
mo2023,mo2023/fig8a,mo2023,arXiv:2305.03911 Fig 8a (kD vs grad P),preprint arXiv:2305.03911,True
mo2023_2,mo2023_2/granulometry_table1,mo2023_2,Table 1,"Elsevier, J. Food Eng. 2023 DOI 10.1016/j.jfoodeng.2023.111843 (paywalled); no code/data published",True
mo2023_2,mo2023_2/k0_table2,mo2023_2,Table 2,"Elsevier, J. Food Eng. 2023 DOI 10.1016/j.jfoodeng.2023.111843 (paywalled); no code/data published",True
mo2023_2,mo2023_2/yield_strength_figs6_9,mo2023_2,Figs 6-9,"Elsevier, J. Food Eng. 2023 DOI 10.1016/j.jfoodeng.2023.111843 (paywalled); no code/data published",True
mo2023_2,mo2023_2/fig3a_qdecay,mo2023_2,Fig 3(a),"Elsevier, J. Food Eng. 2023 DOI 10.1016/j.jfoodeng.2023.111843 (paywalled); no code/data published",True
mo2023_2,mo2023_2/fig6_Ksweep_typeM,mo2023_2,Fig 6,"Elsevier, J. Food Eng. 2023 DOI 10.1016/j.jfoodeng.2023.111843 (paywalled); no code/data published",True
mo2023_2,mo2023_2/sim_lines_figs7_9,mo2023_2,Figs 7-9,"Elsevier, J. Food Eng. 2023 DOI 10.1016/j.jfoodeng.2023.111843 (paywalled); no code/data published",True
moroney2015,moroney2015/data,moroney2015,"Chem. Eng. Sci. 137:216-234 Tables 1-2 + Figs 1,2,3,6,7,8,9,10,11,12 digitized — the primary Philips multiscale dataset (batch + cylindrical), fine (JK) and coarse (Cimbali #20)","Moroney et al. 2015, Chemical Engineering Science (Elsevier); DOI 10.1016/j.ces.2015.06.003; digitized/transcribed by Puckworks",True
moroney2016,moroney2016/table1,moroney2016,SIAM J.Appl.Math 76(6) Table 1 (params + groups),paper (DOI 10.1137/15M1036658),True
moroney2016,moroney2016/fig6,moroney2016,SIAM J.Appl.Math 76(6) Fig 6a (exit conc),paper (DOI 10.1137/15M1036658),True
moroney2019,moroney2019/table2,moroney2019,Moroney et al. 2019 PLoS ONE Table 2 (6 grind x model configs); h_sl corrected per cooper2021 author-confirmed errata,"Moroney et al. 2019 PLoS ONE (CC BY 4.0); cooper2021 Quantitative Cafe blog (errata, author-confirmed)",True
pannusch2024,pannusch2024/table2_params,pannusch2024,J.Food Eng 367 Table 2 (fitted A/B/K/gamma/cs0),CC-BY-NC-3.0 (Mendeley 10.17632/y2tz67f6ry.1) / paper CC-BY,True
pannusch2024,pannusch2024/experimental_kinetics,pannusch2024,Mendeley Data 10.17632/y2tz67f6ry.1; hash-bound fit/prediction/reference reconstruction,CC-BY-NC-3.0 (Mendeley 10.17632/y2tz67f6ry.1),True
perticarini2024,perticarini2024/ey_tds_cibao,perticarini2024,Table 4.2 (p.90),"Universita degli Studi di Camerino PhD thesis (Perticarini 2024), deposited 28 Feb 2024; no DOI, no explicit licence stated -- transcribed table values only, under academic quotation; no code or figures reproduced",True
perticarini2024,perticarini2024/bed_height_time,perticarini2024,Table 4.1 (p.87),"Universita degli Studi di Camerino PhD thesis (Perticarini 2024), deposited 28 Feb 2024; no DOI, no explicit licence stated -- transcribed table values only, under academic quotation; no code or figures reproduced",True
perticarini2024,perticarini2024/granulometry_params,perticarini2024,Table 4.6 (p.96),"Universita degli Studi di Camerino PhD thesis (Perticarini 2024), deposited 28 Feb 2024; no DOI, no explicit licence stated -- transcribed table values only, under academic quotation; no code or figures reproduced",True
pocketscience2024,pocketscience2024/edge_ey_condition_means,pocketscience2024,Espresso water flow experiment.xlsx (VST18 + Sworks High Flow sheets); 12 condition means per card Parameters table,"used with author's permission (attribution/citation pocketscience2024 required); raw workbook kept local for size, derived summary tracked",True
pocketscience2024,pocketscience2024/lrr_scalars,pocketscience2024,"Espresso water flow experiment.xlsx (LRR sheet; 10 flush shots, 2 grinders)","used with author's permission (attribution/citation pocketscience2024 required); raw workbook kept local for size, derived summary tracked",True
ribes2020,ribes2020/radial_ey,ribes2020,Ribes 2020 slide deck; 3-condition x 3-zone radial EY bar charts (baseline / V60 bottom paper / convex tamper),"S. Ribes 2020 slide deck (Decent community); no DOI, not peer-reviewed",True
ribes2021,ribes2021/radial_ey,ribes2021,Ribes 2021 slide deck; 4-condition x 3-zone radial EY bar charts (VST/Pullman 20 g x contact-screen no/yes),"S. Ribes 2021 slide deck (Decent community); no DOI, not peer-reviewed",True
romancorrochano2015,romancorrochano2015/table2,romancorrochano2015,"Roman-Corrochano et al. 2015 Table 2 — tamped-bed K (m^2), mean+/-SD triplicate, grind A-D x bulk density 360/400/480 kg m^-3, Tukey groups",Roman-Corrochano et al. 2015 (CC BY 4.0; DOI'd version of record),True
romancorrochano2017,romancorrochano2017/tamped_kappa,romancorrochano2017,Table 6.1 (p.227),University of Birmingham e-theses (open access; non-commercial research use); no DOI,True
romancorrochano2017,romancorrochano2017/deff_table4_9,romancorrochano2017,Table 4.9 (p.153),University of Birmingham e-theses (open access; non-commercial research use); no DOI,True
romancorrochano2017,romancorrochano2017/partition_K_table4_10,romancorrochano2017,Table 4.10 (p.155),University of Birmingham e-theses (open access; non-commercial research use); no DOI,True
romancorrochano2017,romancorrochano2017/hindrance_table4_8,romancorrochano2017,Tables 4.8/4.7/4.6 joined,University of Birmingham e-theses (open access; non-commercial research use); no DOI,True
romancorrochano2017,romancorrochano2017/Db_table3_4,romancorrochano2017,Table 3.4 (p.78),University of Birmingham e-theses (open access; non-commercial research use); no DOI,True
romancorrochano2017,romancorrochano2017/mpe_table5_3,romancorrochano2017,Table 5.3 (p.183),University of Birmingham e-theses (open access; non-commercial research use); no DOI,True
romancorrochano2017,romancorrochano2017/fig5_11_mpe,romancorrochano2017,Fig 5.11 (p.194),University of Birmingham e-theses (open access; non-commercial research use); no DOI,True
romancorrochano2017,romancorrochano2017/fig5_13_mpe,romancorrochano2017,Fig 5.13 (p.198),University of Birmingham e-theses (open access; non-commercial research use); no DOI,True
romancorrochano2017,romancorrochano2017/fig7_4_espresso,romancorrochano2017,Fig 7.4 (p.283) + Tables 7.1/7.2,University of Birmingham e-theses (open access; non-commercial research use); no DOI,True
romancorrochano2017,romancorrochano2017/y0_extractable,romancorrochano2017,Section 4.4.1 (p.139) + Fig 4.19 (p.140),University of Birmingham e-theses (open access; non-commercial research use); no DOI,True
schmieder2023,schmieder2023/kinetics_fit_params_avg,schmieder2023,"Foods 12,2871 Table A1 (JATS XML full text)","open access CC-BY (Foods 12,2871; DOI 10.3390/foods12152871)",True
schmieder2023,schmieder2023/kinetics_fit_params_reps,schmieder2023,"Foods 12,2871 Table S2 (supplementary xlsx)","open access CC-BY (Foods 12,2871; DOI 10.3390/foods12152871)",True
schmieder2023,schmieder2023/cup_masses,schmieder2023,"Foods 12,2871 Table S3 = paper Table 2 (xlsx)","open access CC-BY (Foods 12,2871; DOI 10.3390/foods12152871)",True
schmieder2023,schmieder2023/raw_fractions,schmieder2023,"Foods 12,2871 Table S1 (supplementary xlsx)","open access CC-BY (Foods 12,2871; DOI 10.3390/foods12152871)",True
schmieder2023,schmieder2023/rsm_coefficients,schmieder2023,"Foods 12,2871 Table 3 (JATS XML)","open access CC-BY (Foods 12,2871; DOI 10.3390/foods12152871)",True
schulman2011,schulman2011/basket_geometry,schulman2011,Part-1 geometry table,"Schulman, Home-Barista.com (2011); non-peer-reviewed; no DOI",True
smrke2024,smrke2024/figures,smrke2024,Sci. Rep. 14:5612 digitized figures Fig 2-7 + Supp Fig S1 (EY-vs-time across 0/1/2/4 g added fines; PSD; PLSR; predicted-vs-measured; PTR-MS; sensory; per-shot flow profiles),"Smrke et al. 2024, Scientific Reports (CC BY 4.0); DOI 10.1038/s41598-024-55831-x; raw on request from S. Smrke",True
sobolik2002,sobolik2002/rheology,sobolik2002,"J. Food Eng. 51:93-98 Tables 1-2 + Eqs (1)-(11) computed lines + Figs 1-6 digitized — viscosity mu(omega,T) and electrical conductivity kappa(omega,T) of concentrated soluble-coffee solutions","Sobolik et al. 2002, Journal of Food Engineering 51:93-98 (Elsevier); PII S0260-8774(01)00042-5; digitized/computed by Puckworks",True
telisromero2001,g10_liquor_rheology/telisromero2001_closures,telisromero2001,Telis-Romero et al. J. Food Process Eng. 24 (2001) 217 (DOI 10.1111/j.1745-4530.2001.tb00542.x) Eqs (10)/(12)/(13) fitted closures + Table-1 eta / Table-2 K anchor points,"paywalled (Wiley, bot-blocked here); coefficients + anchors transcribed from docs/cards/telisromero2001.md, primary Tables 1-2 NOT redistributed",True
telisromero2001,g10_liquor_rheology/telisromero2001_tables,telisromero2001,"Telis-Romero et al. J. Food Process Eng. 24 (2001) 217 Table 1 (24 eta cells, Newtonian, X_w 76-90% x T 295-365K) + Table 2 (27 K + 27 n cells, power-law, X_w 49-64% x T 274-353K); source md in data/telisromero2001/","paywalled (Wiley); tables digitized by author-side drop, not redistributed beyond this repo",True
vacaguerra2023a,vacaguerra2023a/extraction_conditions,vacaguerra2023a,Table C.1,"JFE 340 (2023) 111301 (Elsevier); preprint digitized, not redistributed",True
vacaguerra2023a,vacaguerra2023a/psd,vacaguerra2023a,Table 1,JFE 340 (2023) 111301 (Elsevier); preprint digitized,True
vacaguerra2023a,vacaguerra2023a/phi_coefficients,vacaguerra2023a,Table 2 (Eq. 9),JFE 340 (2023) 111301 (Elsevier); preprint digitized,True
vacaguerra2023a,vacaguerra2023a/omega_coefficients,vacaguerra2023a,Table 3 (Eq. 10),JFE 340 (2023) 111301 (Elsevier); preprint digitized,True
vacaguerra2023a,vacaguerra2023a/dry_porosity_validation,vacaguerra2023a,Figure 12,JFE 340 (2023) 111301 (Elsevier); preprint digitized,True
visualizer,visualizer/hydraulic_timeseries,visualizer_coffee,visualizer.coffee API /shots/{id} .data series,public shots used with author (Miha Rekar) permission 2026-07-14 via documented API within published rate limits; PUBLICATION MUST credit Visualizer + collectively acknowledge contributing users; raw corpus gitignored (not redistributed),True
visualizer,visualizer/user_outcomes,visualizer_coffee,visualizer.coffee API /shots/{id} drink_tds/drink_ey + sensory ints,public shots used with author (Miha Rekar) permission 2026-07-14 via documented API within published rate limits; PUBLICATION MUST credit Visualizer + collectively acknowledge contributing users; raw corpus gitignored (not redistributed),True
wadsworth2026,wadsworth2026/table1_full,wadsworth2026_grindmap / wadsworth2026 (one paper),"R. Soc. Open Sci. 13,252031 Table 1 (full: grind moments + porosity + k)",open access CC-BY-4.0 (DOI 10.1098/rsos.252031),True
waszkiewicz2025,waszkiewicz2025/traces_time_dependent,waszkiewicz2025,Zenodo formatted_measurements/time_dependent.csv (Figs 5/8),CC-BY-4.0 (Zenodo 10.5281/zenodo.18046315); code GPLv3 not ingested,True
waszkiewicz2025,waszkiewicz2025/tds_fractions,waszkiewicz2025,Zenodo formatted_measurements/tds.csv + replicates (Fig 7B),CC-BY-4.0 (Zenodo 10.5281/zenodo.18046315); code GPLv3 not ingested,True
waszkiewicz2025,waszkiewicz2025/static_calibration,waszkiewicz2025,Zenodo fit_parameters/static_model_calibration.csv (Fig 6 fit),CC-BY-4.0 (Zenodo 10.5281/zenodo.18046315); code GPLv3 not ingested,True
waszkiewicz2025,waszkiewicz2025/tds_solids_calibration,waszkiewicz2025,"Zenodo fit_parameters/{tds,solids}_calibration.csv (Eqs 19-20 sigmoids)",CC-BY-4.0 (Zenodo 10.5281/zenodo.18046315); code GPLv3 not ingested,True
waszkiewicz2025,waszkiewicz2025/brewer_quadratic,waszkiewicz2025,Zenodo brewer_calibration.csv points + params (Fig 2B),CC-BY-4.0 (Zenodo 10.5281/zenodo.18046315); code GPLv3 not ingested,True
waszkiewicz2025,waszkiewicz2025/mastersizer_psd,waszkiewicz2025,Zenodo measurements_mastersizer/mastersizer.csv (Fig 3),CC-BY-4.0 (Zenodo 10.5281/zenodo.18046315); code GPLv3 not ingested,True
waszkiewicz2025,waszkiewicz2025/constants,waszkiewicz2025,Zenodo constant_parameters/constants.csv,CC-BY-4.0 (Zenodo 10.5281/zenodo.18046315); code GPLv3 not ingested,True
waszkiewicz2025,waszkiewicz2025/traces_per_brew,waszkiewicz2025,measurements_time_dependent/*.txt (57 raw per-brew JSON-lines traces),"CC-BY-4.0 (Zenodo 10.5281/zenodo.18046315, record license); code GPLv3 not ingested",True
waszkiewicz2025,waszkiewicz2025/equilibrium_windows,waszkiewicz2025,"measurements_time_dependent/*.txt (raw per-brew traces, NOT truncated at 100 s)","CC-BY-4.0 (Zenodo 10.5281/zenodo.18046315, record license); code GPLv3 not ingested",True
